iter	Accuracy	MultiClass
413	0.74425	0.5683166444
414	0.744125	0.5680546496
415	0.7444375	0.5679699721
416	0.744625	0.5676877584
417	0.745	0.5674800955
418	0.74525	0.5673160784
419	0.7454375	0.5670299024
420	0.7455	0.566778253
421	0.745625	0.5664238865
422	0.74575	0.5660714741
423	0.746	0.565931401
424	0.7463125	0.5656465341
425	0.7463125	0.5655393982
426	0.7469375	0.5653140746
427	0.747125	0.5650986699
428	0.746875	0.5649075815
429	0.747	0.5646960619
430	0.7470625	0.5644785559
431	0.747375	0.5641440336
432	0.7475625	0.5639696672
433	0.7475625	0.5637281413
434	0.7478125	0.5635592328
435	0.7481875	0.5633649836
436	0.748125	0.563025309
437	0.7479375	0.5627637894
438	0.7481875	0.5625000024
439	0.7483125	0.5623531319
440	0.7483125	0.5622121877
441	0.7486875	0.5617860833
442	0.7486875	0.5615056776
443	0.74875	0.5612687171
444	0.7488125	0.5610715075
445	0.74875	0.560661733
446	0.748625	0.5605614109
447	0.7488125	0.5603251952
448	0.7488125	0.5598933948
449	0.7495	0.5595867912
450	0.7496875	0.5593951898
451	0.750125	0.5591132869
452	0.7504375	0.5587874749
453	0.7504375	0.558694021
454	0.7505	0.5584779875
455	0.7505625	0.558368748
456	0.7509375	0.5580557679
457	0.75075	0.5579609375
458	0.7508125	0.5577552322
459	0.7510625	0.5574689842
460	0.75125	0.5573561297
461	0.75125	0.5570098664
462	0.7511875	0.5567391781
463	0.751375	0.5564083834
464	0.7515	0.5560944875
465	0.7515625	0.5559158911
466	0.7515625	0.5557605538
467	0.7523125	0.5553750996
468	0.7524375	0.5551335005
469	0.752625	0.5550413612
470	0.7525625	0.5547236087
471	0.7521875	0.554568975
472	0.7523125	0.5544307455
473	0.753125	0.5541684442
474	0.7530625	0.5539088605
475	0.7531875	0.5535766249
476	0.7539375	0.5531452945
477	0.7540625	0.5528747886
478	0.754	0.5526800044
479	0.7540625	0.5525007175
480	0.7538125	0.5523307458
481	0.754125	0.5522198029
482	0.754	0.5520250409
483	0.754125	0.5517331314
484	0.7545	0.5514858338
485	0.7551875	0.5510974751
486	0.75525	0.5508581173
487	0.7554375	0.5505565921
488	0.755625	0.5503192647
489	0.7555	0.5502165108
490	0.7556875	0.5498903136
491	0.7556875	0.5496476523
492	0.7559375	0.5493998797
493	0.755875	0.5492490327
494	0.756	0.5490784206
495	0.755875	0.5489674319
496	0.7558125	0.5488446471
497	0.7563125	0.5486676315
498	0.756875	0.5483488506
499	0.7568125	0.5482588556
500	0.756875	0.5480922876
501	0.75675	0.5479289125
502	0.756875	0.5478084784
503	0.757125	0.5475854697
504	0.75675	0.5473502197
505	0.7573125	0.5472001602
506	0.757125	0.5470791716
507	0.757625	0.546719284
508	0.7579375	0.5463273322
509	0.7580625	0.5460855038
510	0.75825	0.5457763446
511	0.758125	0.5455790136
512	0.758125	0.5455073811
513	0.7585	0.5453089537
514	0.7585	0.545017229
515	0.7588125	0.5448899414
516	0.759625	0.5444996106
517	0.759625	0.5441561044
518	0.759875	0.5440059094
519	0.7596875	0.5437867213
520	0.7598125	0.5436136142
521	0.7596875	0.5434625364
522	0.759625	0.543230195
523	0.759875	0.543015511
524	0.7598125	0.5428479936
525	0.760375	0.5426536456
526	0.7605625	0.5425844142
527	0.7605625	0.5423094903
528	0.7605625	0.5421455005
529	0.7606875	0.5418364038
530	0.7606875	0.5415225565
531	0.7606875	0.5413958541
532	0.7608125	0.5410434852
533	0.761	0.5408121206
534	0.7614375	0.5406278151
535	0.761375	0.5403904708
536	0.761625	0.5402141711
537	0.7618125	0.5399876587
538	0.7618125	0.5398636302
539	0.7625	0.5396040889
540	0.7625	0.5393592986
541	0.7623125	0.5391345371
542	0.7625	0.5389350665
543	0.763	0.5386884651
544	0.7631875	0.5385612216
545	0.7635	0.5383320569
546	0.7631875	0.5382541644
547	0.7633125	0.5381511236
548	0.7635625	0.5379453522
549	0.763625	0.537721467
550	0.7640625	0.5375031808
551	0.7636875	0.5372859216
552	0.7638125	0.5372092604
553	0.76375	0.5370238583
554	0.7636875	0.5367720898
555	0.764	0.5365732285
556	0.7639375	0.5364077461
557	0.764125	0.5362891966
558	0.7645	0.5360909374
559	0.7644375	0.5358251227
560	0.764875	0.5355190153
561	0.764875	0.5354453717
562	0.7649375	0.5351741442
563	0.76525	0.5350064249
564	0.765375	0.534695986
565	0.766	0.5345152906
566	0.7665	0.5342862234
567	0.7664375	0.5339992461
568	0.7661875	0.5339039561
569	0.766625	0.5336413444
570	0.7668125	0.5333337237
571	0.767125	0.5330707147
572	0.767125	0.5329108054
573	0.767125	0.5327035178
574	0.7674375	0.5322852288
575	0.767625	0.53213782
576	0.7675625	0.5319678592
577	0.767875	0.5317412541
578	0.7683125	0.5315717278
579	0.7683125	0.5313348912
580	0.7684375	0.5310636992
581	0.768875	0.5307831799
582	0.768875	0.5305793342
583	0.769375	0.5302411726
584	0.7694375	0.5301322881
585	0.769375	0.5299307685
586	0.7693125	0.5296761369
587	0.7701875	0.5294278147
588	0.7698125	0.5292211021
589	0.77025	0.5289815363
590	0.77025	0.5287045776
591	0.770375	0.5284896315
592	0.77075	0.5283713209
593	0.770625	0.5282075513
594	0.771375	0.5279659249
595	0.7713125	0.5277531417
596	0.7708125	0.5274164765
597	0.771	0.52716862
598	0.771	0.5269260715
599	0.7713125	0.5266571534
600	0.7718125	0.5264515061
601	0.772125	0.5261524436
602	0.772125	0.5259180149
603	0.7724375	0.5256223853
604	0.772625	0.5253207868
